,season,episode,category,value,clue,answer
0,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",TELEVISION,$50,Long-running Western about the Cartwright clan,Bonanza
1,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",U.S. LANDMARKS,$50,"It scrapes the sky at 5th Avenue & 34th Street, New York City",the Empire State Building
2,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",CELEBRITY RELATIVES,$50,"Shirley MacLaine's ""kid"" brother",Warren Beatty
3,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",FOOD,$50,The most widely eaten fungus,a mushroom
4,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",SUPERSTITIONS,$50,Number of years of bad luck that comes from breaking a mirror,7
5,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",AWARDS,$50,This late singer's 28 gold records were the most ever awarded to an individual,Elvis (Presley)
6,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",TELEVISION,$100,"He's been Bentley Gregg, the Angels' Charlie, & Blake Carrington",John Forsythe
7,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",U.S. LANDMARKS,$100,"Named for the channel it spans, this California bridge is really orange",the Golden Gate
8,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",CELEBRITY RELATIVES,$100,Mary Martin's boy who's developed a Dallas drawl,Larry Hagman
9,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",FOOD,$100,"Jewish deli substitute for ""pate de foie gras""",chopped chicken livers
10,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",SUPERSTITIONS,$100,The way a horseshoe's legs should point when it's hung for good luck,up
11,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",AWARDS,$100,The annual awards given by the Academy of Motion Picture Arts & Sciences,the Oscar
12,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",TELEVISION,$150,Eddie Murphy's impersonation has revived interest in this little green guy,Gumby
13,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",U.S. LANDMARKS,$150,"From the Spanish for ""Cottonwood"", the site where Jim Bowie & Davy Crockett died",the Alamo
14,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",CELEBRITY RELATIVES,$150,She's Dear Abby's twin sister,Ann Landers
15,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",FOOD,$150,"This ""heavenly"" candy is made of whipped egg whites, sugar, & nuts",divinity
16,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",SUPERSTITIONS,$150,"What actors say on opening night instead of ""good luck""",break a leg
17,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",AWARDS,$150,Lech Walesa sent his wife to accept this award,the Nobel (Peace) Prize
18,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",TELEVISION,$200,"The greeting which opened each episode of ""Alfred Hitchcock Presents""","""Good evening"""
19,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",U.S. LANDMARKS,$200,The building on the back of a $20 bill,the White House
20,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",CELEBRITY RELATIVES,$200,Carrie Fisher's famous parents,Debbie Reynolds & Eddie Fisher
21,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",FOOD,$200,"Order ""calamari"" in an Italian restaurant and you'll get this seafood",squid
22,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",SUPERSTITIONS,$200,"An omen of bad luck in Da Vinci's famous painting ""The Last Supper""",the spilt salt shaker (or 13 at the table)
23,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",AWARDS,$200,The highest award given to an American serviceman,the Congressional Medal of Honor
24,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",TELEVISION,DD: $250,"Of 5 series spun off of ""All in the Family"" the only one still in production",The Jeffersons
25,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",U.S. LANDMARKS,$250,"The view from this Colorado summit inspired the song ""America the Beautiful""",Pike\'s Peak
26,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",CELEBRITY RELATIVES,$250,"They were ""Minnie's boys""",the Marx Brothers
27,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",SUPERSTITIONS,$250,French warrior & statesman morbidly afraid of cats & the number 13,Napoleon
28,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",AWARDS,$250,It's the award given each year's most outstanding major league pitcher,the Cy Young Award
29,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",CIVIL WAR,$100,First shot of the Civil War was fired there,Fort Sumter
30,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",TOYS & GAMES,$100,Popular doll that comes with adoption papers,a Cabbage Patch Kid
31,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",MOVIES,$100,"Resembling a rock video, this film inspired off-the-shoulder sweatshirt fashions",Flashdance
32,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",SPORTS LEGENDS,$100,His home-run records were broken by Maris & Aaron,Babe Ruth
33,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",STATE NAMES,$100,The only state named after a president,Washington
34,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",FAMOUS PAIRS,$100,The Brothers Grimm wrote about these 2 children of a broom maker,Hansel & Gretel
35,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",CIVIL WAR,$200,It was the capital of the Confederacy,"Richmond, Viriginia"
36,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",TOYS & GAMES,$200,"In Monopoly, the corner between Boardwalk & Mediterranean",Go
37,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",MOVIES,$200,"Her film ""Yentl"" has been called ""Tootsie on the Roof""",Barbra Streisand
38,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",SPORTS LEGENDS,$200,"He has an I.Q. of 131, has written a best-seller, and stands 7'2"" tall",Kareem Abdul-Jabbar
39,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",STATE NAMES,$200,Ponce de Leon named this Southern state for its flowers,Florida
40,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",FAMOUS PAIRS,$200,Sin cities of the Bible,Sodom & Gomorrah
41,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",CIVIL WAR,$300,"General who ravaged Georgia, then explained ""War is hell""",General (William Tecumsah) Sherman
42,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",TOYS & GAMES,$300,"To play this, you need wickets, mallets and wooden balls",croquet
43,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",MOVIES,DD: $750,"Best Picture of '42, it featured the following:",Casablanca
44,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",SPORTS LEGENDS,$300,"In 1971, became first woman athlete to win over $100,000 in a year",Billie Jean King
45,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",STATE NAMES,$300,1 of 2 Eastern Seaboard states named after queens of England,Maryland (or Virginia)
46,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",FAMOUS PAIRS,$300,It's the world's largest mail-order co.,Sears-Roebuck
47,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",CIVIL WAR,$400,"Battle known as ""high water mark of the Confederacy""",the Battle of Gettysburg
48,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",TOYS & GAMES,$400,"""Spit in the ocean"" is a variety of this card game",poker
49,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",MOVIES,$400,"She hit ""The Road"" 7 times with Hope & Crosby",Dorothy Lamour
50,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",SPORTS LEGENDS,$400,Figure skater who won only U.S. gold at 1968 Winter Olympics in France,Peggy Fleming
51,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",STATE NAMES,DD: $800,The only state with a one-syllable name,Maine
52,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",FAMOUS PAIRS,$400,"Originally, these dancers' names were Frederick Austerlitz & Virginia McNath",Fred Astaire & Ginger Rogers
53,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",CIVIL WAR,$500,The 2 vessels involved in the first battle between ironclad warships,the Monitor & the Merrimack
54,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",TOYS & GAMES,$500,It's a tied game in chess,a stalemate
55,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",MOVIES,$500,Current comic hit chronicling 30 years of a mother-daughter relationship,Terms of Endearment
56,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",SPORTS LEGENDS,$500,"Voted ""Greatest All-round Athlete of Last Half Century"", he was full-blooded American Indian",Jim Thorpe
57,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",FAMOUS PAIRS,$500,"They were the opposing attorneys at the Scopes ""Monkey"" Trial",Clarence Darrow & William Jennings Bryan
58,trebekpilots,"Trebek pilot #2 - Sunday, January 1, 1984",LITERATURE,,"Classic American novel which begins ""Call me Ishmael""",Moby-Dick
59,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",WORLD GEOGRAPHY,$25,"This country's counties include Kerry, Kilkenny, and Kildare",Ireland
60,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",BEST-SELLERS,$25,This Jacqueline Susann novel is the all-time fictional best seller,Valley of the Dolls
61,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",SPORTS,$25,He's won 5 of the 10 last U.S. Open tennis titles,Jimmy Connors
62,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",LISTS,$25,Moses received this list on Mt. Sinai,the Ten Commandments
63,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",WILD WEST,$25,This was William Bonney's best-known alias,Billy the Kid
64,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",HERBS AND SPICES,$25,Reportedly good for lowering blood pressure and repelling vampires,garlic
65,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",WORLD GEOGRAPHY,$50,Only nation to cover an entire continent,Australia
66,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",BEST-SELLERS,$50,Hot horror author whose latest book is about haunted '58 Plymouth,Stephen King
67,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",SPORTS,$50,"In golf, it's 2 under par for a hole",an eagle
68,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",LISTS,$50,He lists the ten worst-dressed,Mr. Blackwell
69,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",WILD WEST,$50,This town was the site of the gunfight at the O.K. Corral,Tombstone
70,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",HERBS AND SPICES,$50,These dried flower buds are a must with baked ham,cloves
71,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",WORLD GEOGRAPHY,$75,"The Japanese name for Japan, meaning ""source of the sun""",Nihon (or Nippon)
72,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",BEST-SELLERS,$75,Recent expose of movie studio executive's way with a check,Indecent Exposure
73,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",SPORTS,$75,Famous Notre Dame football backfield with apocalyptic nickname,the Four Horsemen
74,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",LISTS,DD: $175,"What this Paul Simon hit lists:""You just slip out the back, Jack /Make a new plan, Stan /You don't need to be coy, Roy /Just get yourself free...""",50 ways to leave your lover
75,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",WILD WEST,$75,Buffalo Bill and Wild Bill Hickok both worked for this mail service,the Pony Express
76,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",HERBS AND SPICES,$75,Spice made from the dried bark of a Ceylonese tree,cinnamon
77,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",WORLD GEOGRAPHY,$100,The only country in Europe barred to American tourists,Albania
78,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",SPORTS,$100,"In college, Kareem Abdul-Jabbar played under this name",Lew Alcindor
79,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",LISTS,$100,"For them, ""The Book of Lists"" is a family affair",the Wallaces (or the Wallechinskys)
80,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",WILD WEST,$100,"This is the real name of""Custer's Last Stand""",(Battle of) the Little Bighorn
81,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",HERBS AND SPICES,$100,This herb's name comes from belief that it will lengthen life and increase wisdom,sage
82,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",SPORTS,$125,Superbowl trophy is named for this coach,Vince Lombardi
83,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",WILD WEST,$125,This gunfighter wound up a New York City sports reporter,Bat Masterson
84,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",ANATOMY,$50,"If the body were a car, they would be the carburetors",the lungs
85,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",ISLANDS,$50,The two island Boroughs of New York City,Manhattan & Staten Island
86,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",THE SENATE,$50,"The Constitution makes him ""president of the Senate""",the vice president of the U.S.
87,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",FOREIGN PHRASES,$50,"French phrase for food items, ordered individually",a la carte
88,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",SAMS,$50,Popularized by famous WW-1 recruiting poster,Uncle Sam
89,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",THE SIXTIES,$50,"Self-appointed ""High Priest"" of LSD",Timothy Leary
90,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",ANATOMY,$100,Building these up with steroids has caused sports controversy,muscles
91,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",THE SENATE,$100,"In a letter, the correct form of address for a senator",Honorable
92,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",FOREIGN PHRASES,$100,"The British call this ""the lift""",the elevator
93,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",SAMS,$100,"Created by Dashiell Hammett, played by Humphrey Bogart",Sam Spade
94,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",THE SIXTIES,$100,"The year Armstrong took ""one small step...""",1969
95,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",ANATOMY,DD: $200,"Babies have more than 300, while adults have only 206",bones
96,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",THE SENATE,$150,Former Rhodes scholar and basketball star now senator from New Jersey,Bill Bradley
97,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",FOREIGN PHRASES,$150,"Day of the year when Italians wish ""Buon Natale""",Christmas (December 25)
98,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",SAMS,$150,Texas hero who won Battle of San Jacinto,Sam Houston
99,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",THE SIXTIES,$150,"In late 1965 his book ""Unsafe at Any Speed"" was published",Ralph Nader
100,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",ANATOMY,$200,A cranium and 2 femurs on a black flag,a skull and crossbones
101,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",THE SENATE,$200,Presided over Senate while under indictment for murdering Alexander Hamilton,Aaron Burr
102,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",FOREIGN PHRASES,$200,"Meaning ""a bride's belongings"", it's French for ""small bundle""",trousseau
103,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",SAMS,$200,Most famous alumnus of Will Mastin Trio,Sammy Davis Jr.
104,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",THE SIXTIES,DD: $200,The group tried for conspiring to riot at '68 Democratic Convention,the Chicago Seven
105,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",ANATOMY,$250,This is the body's largest gland,the liver
106,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",ISLANDS,$250,Where Napoleon died in exile,St. Helena
107,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",THE SENATE,$250,Group of senators who vote together for a specific purpose,a bloc
108,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",FOREIGN PHRASES,$250,"Criminologist's phrase, from Latin for ""manner of working""",modus operandi
109,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",SAMS,$250,"Film producer famous for malapropism, ""Include me out""",Sam Goldwyn
110,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",THE SIXTIES,$250,American who won the 1964 Nobel Peace Prize,Martin Luther King (Jr.)
111,trebekpilots,"Trebek pilot #1 - Sunday, September 18, 1983",U.S. LANDMARKS,,This state boasts Mt. Rushmore,South Dakota
